"","SubjectCode","Level","nTrialLevel","ClocksInSet","Accuracy","Jymmin","RT"
"125",2,1,1150,25,19,1,296.786753376326
"126",2,1,1175,25,24,1,265.282690941217
"127",2,1,1200,25,24,1,232.022810928171
"128",2,1,1225,25,25,1,241.521125465681
"129",3,1,1,25,18,0,365.206455404712
"130",3,1,26,25,13,0,248.588463846603
"131",3,1,51,25,17,0,337.353992133814
"132",3,1,76,25,17,0,412.708603393918
"133",3,1,101,25,12,0,455.311404876609
"134",3,1,126,25,15,0,297.187603329315
"135",3,1,151,25,18,0,370.952656547852
"136",3,1,176,25,15,0,345.340065593182
"137",3,1,201,2,0,0,17.3651944077798
"138",3,1,203,25,25,0,253.54125283592
"139",3,1,228,25,6,0,276.081363042555
"140",3,1,253,25,13,0,424.186968078288
"141",3,1,278,25,15,0,186.985653811882
"142",3,1,303,25,18,0,308.242011405294
"143",3,1,328,25,19,0,419.69552884047
"144",3,1,353,25,15,0,203.241091134426
"145",3,1,378,25,15,0,241.214023514569
"146",3,1,403,25,17,0,255.857727405846
"147",3,1,428,25,16,0,219.593192771889
"148",3,1,453,25,13,0,238.942020779272
"149",3,1,478,25,19,0,369.585812639945
"150",3,1,503,25,11,0,521.33655599991
"151",3,1,528,25,17,0,520.821017371243
"152",3,1,553,25,21,0,259.907532122764
"153",3,1,578,25,19,0,387.102937320338
"154",3,1,603,25,13,0,211.5544931349
"155",3,1,628,25,19,0,456.675246313117
"156",3,1,653,25,21,0,264.645844692677
"157",3,1,678,25,19,0,403.33847512841
"158",3,1,703,25,18,0,310.91918005249
"159",3,1,728,25,18,0,322.679809949749
"160",3,1,753,25,19,0,250.241350806994
"161",3,1,778,25,15,0,408.91876813912
"162",3,1,803,25,19,0,314.779148257679
"163",3,1,828,25,20,0,380.236675954977
"164",3,1,853,25,21,0,221.954822287293
"165",3,1,878,25,17,0,317.26261579174
"166",3,1,903,25,17,0,266.982507765387
"167",3,1,928,25,19,0,291.795187753536
"168",3,1,953,25,15,0,358.151389570054
"169",3,1,978,25,19,0,156.319765192177
"170",3,1,1003,25,22,0,259.072115475363
"171",3,1,1028,25,16,0,223.341474967346
"172",3,1,1053,25,23,0,342.258725207935
"173",3,1,1078,25,16,0,250.210857653438
"174",3,1,1103,25,21,0,142.474613484685
"175",3,1,1128,25,15,0,242.736478954042
"176",3,1,1153,25,19,0,266.303750803074
"177",3,1,1178,25,21,0,257.60553535163
"178",3,1,1203,25,18,0,278.535186702216
"179",3,1,1228,25,17,0,356.917676651684
"180",3,1,1253,25,18,0,184.702471399895
"181",3,1,1278,12,12,0,145.733699265853
"182",3,1,1290,25,19,0,190.331954331702
"183",3,1,1315,25,19,0,190.706072532349
"184",3,1,1340,25,16,0,181.867671081759
"185",3,1,1365,25,19,0,211.603857675879
"186",3,1,1390,25,19,0,201.190277733104
"187",3,1,1415,25,16,0,311.994575852757
"188",3,1,1440,25,24,0,164.270746328343
"189",3,1,1465,16,10,0,115.08164395419
"190",3,1,1481,25,20,0,309.623464570295
"191",3,1,1506,25,21,0,158.534944016156
"192",3,1,1531,25,16,0,157.291736480161
"193",3,1,1556,25,23,0,208.564003602677
"194",3,1,1581,25,15,0,157.47007417857
"195",3,1,1606,25,20,0,163.567211446001
"196",3,1,1631,25,15,0,306.625409641152
"197",3,1,1656,25,17,0,189.650589121776
"198",3,1,1681,25,19,0,324.125901061921
"199",3,1,1706,25,15,0,211.21997683048
"200",3,1,1731,25,16,0,395.768177460682
"201",3,1,1756,23,21,0,192.100531641123
"202",3,1,1779,25,15,0,205.567104337918
"203",3,1,1804,25,19,0,212.667797592918
"204",3,1,1829,25,19,0,203.022177105655
"205",3,1,1854,25,13,0,152.356031313584
"206",3,1,1879,25,17,0,182.52174620454
"207",3,1,1904,25,21,0,205.595926705165
"208",3,1,1929,25,12,0,177.235260884177
"209",3,1,1954,25,20,0,207.19478458749
"210",3,1,1979,25,19,0,193.048119756131
"211",3,1,2004,25,22,0,227.597829650071
"212",3,1,2029,25,18,0,159.182367446535
"213",3,1,2054,25,19,0,151.179939905662
"214",3,1,2079,25,19,0,178.83419977372
"215",3,1,2104,25,20,0,231.209691841943
"216",3,1,2129,25,18,0,133.707047465663
"217",3,1,2154,25,21,0,207.803278670142
"218",3,1,2179,25,15,0,167.06349255088
"219",3,1,2204,25,22,0,173.598873855431
"220",3,1,2229,25,19,0,611.909231774457
"221",3,1,2254,25,20,0,132.298977306449
"222",3,1,2279,25,22,0,105.67113365183
"223",3,1,2304,25,16,0,234.194770257486
"224",3,1,2329,25,16,0,180.681445982149
"225",3,1,2354,25,24,0,199.601631298903
"226",3,1,2379,25,19,0,168.270226967831
"227",3,1,2404,25,20,0,179.586328313702
"228",3,1,2429,25,20,0,146.826472670939
"229",3,1,2454,25,20,0,216.786332351807
"230",3,1,2479,25,16,0,176.508865408041
"231",3,1,2504,25,12,0,183.26647216105
"232",3,1,2529,25,22,0,163.803674497353
"233",3,1,2554,25,24,0,242.638463294976
"234",3,1,2579,25,22,0,276.221486073818
"235",3,1,2604,25,19,0,210.101198286686
"236",3,1,2629,25,22,0,137.764301160404
"237",3,1,2654,25,19,0,160.404817410571
"238",3,1,2679,25,16,0,184.889774457912
"239",3,1,2704,25,22,0,152.142747469245
"240",3,1,2729,25,17,0,120.861248889456
"241",3,1,2754,25,23,0,144.514027726864
"242",3,1,2779,25,20,0,168.914733892148
"243",3,1,2804,25,23,0,152.09819697861
"244",3,1,2829,25,17,0,358.641220855664
"245",3,1,2854,25,17,0,105.283496596564
"246",3,1,2879,25,17,0,145.367517029307
"247",3,1,2904,25,17,0,134.941575096337
"248",3,1,2929,25,21,0,139.940302976187
"249",3,1,2954,25,18,0,207.857847560309
"250",3,1,2979,25,19,0,133.824814209475
"251",3,1,3004,25,16,0,166.043219347353
"252",3,1,3029,25,22,0,132.080296461383
"253",3,1,3054,25,22,0,135.662410537818
"254",3,1,3079,25,17,0,125.652811925096
"255",3,1,3104,25,15,0,117.110454003937
"256",3,1,3129,25,18,0,121.292254002701
"257",3,1,3154,25,18,0,164.858205079589
"258",3,1,3179,25,19,0,255.802383560493
"259",3,1,3204,25,19,0,120.301666853616
"260",3,1,3229,25,19,0,94.7852001586533
"261",3,1,3254,25,16,0,129.36815266997
"262",3,1,3279,25,17,0,129.929324224074
"263",3,1,3304,25,24,0,120.581186785457
"264",3,1,3329,25,22,0,143.097278306146
"265",3,1,3354,25,20,0,191.078942118299
"266",3,1,3379,25,21,0,113.923096945825
"267",3,1,3404,25,19,0,146.180383653723
"268",3,1,3429,25,17,0,132.721713461036
"269",3,1,3454,25,21,0,132.4793243665
"270",3,1,3479,25,15,0,125.862027159195
"271",3,1,3504,25,14,0,145.747134075774
"272",3,1,3529,25,21,0,117.003720375755
"273",3,1,3554,25,25,0,135.53102172698
"274",3,1,3579,25,18,0,123.331721327475
"275",3,1,3604,25,19,0,111.107158458936
"276",3,1,3629,25,19,0,108.976088186217
"277",3,1,3654,25,15,0,142.18098976763
"278",3,1,3679,25,22,0,149.357215962075
"279",3,1,3704,2,2,0,6.52409393479341
"280",3,1,3706,25,19,0,112.521716082228
"281",3,1,3731,25,20,0,92.3084843207302
"282",3,1,3756,25,22,0,150.33600309629
"283",3,1,3781,19,12,0,87.2598769869989
"284",3,1,3800,25,21,0,147.30617533915
"285",3,1,3825,25,20,0,125.814205917212
"286",3,1,3850,25,22,0,127.92791440478
"287",3,1,3875,25,18,0,125.944123930373
"288",3,1,3900,25,19,0,121.82911460748
"289",3,1,3925,25,19,0,122.800471161152
"290",3,1,3950,25,20,0,138.5063878271
"291",3,1,3975,25,19,0,96.0343891554635
"292",3,1,4000,25,20,0,110.357660213509
"293",3,1,4025,25,16,0,114.441282545752
"294",3,1,4050,25,18,0,122.737768183599
"295",3,1,4075,25,23,0,128.938682852734
"296",3,1,4100,25,23,0,113.754816561619
"297",3,1,4125,25,16,0,209.11102754439
"298",3,1,4150,25,23,0,106.151784211833
"299",3,1,4175,25,19,0,118.217686135585
"300",3,1,4200,25,22,0,153.462103134829
"301",3,1,4225,25,16,0,99.7880078870645
"302",3,1,4250,25,18,0,115.668169123144
"303",3,1,4275,25,15,0,104.760381715056
"304",3,1,4300,25,25,0,166.747428155751
"305",3,1,4325,16,13,0,82.1164070107735
"306",3,1,4341,25,18,0,111.836058297888
"307",3,1,4366,25,17,0,96.7946334288369
"308",3,1,4391,25,18,0,135.67699969869
"309",3,1,4416,25,22,0,153.544347274007
"310",3,1,4441,25,20,0,121.527285154352
"311",3,1,4466,25,19,0,88.7315996318069
"312",3,1,4491,23,18,0,102.091253217446
"313",3,1,4514,25,18,0,91.0135410100005
"314",3,1,4539,25,20,0,94.2281332017672
"315",3,1,4564,25,17,0,80.1018625001501
"316",3,1,4589,25,22,0,122.40659379612
"317",3,1,4614,25,23,0,76.5737139628736
"318",3,1,4639,25,20,0,104.629158787354
"319",3,1,4664,25,19,0,75.4205021751616
"320",3,1,4689,25,21,0,102.567441957582
"321",3,1,4714,25,23,0,111.959091089176
"322",3,1,4739,25,22,0,94.954649183451
"323",3,1,4764,25,23,0,105.419197996195
"324",3,1,4789,18,17,0,67.9058536544129
"325",3,1,4807,25,17,0,111.799132016234
"326",3,1,4832,22,18,0,86.918333538827
"327",3,1,4854,25,24,0,82.7917188841538
"328",3,1,4879,25,18,0,91.9355326780684
"329",3,1,4904,25,19,0,83.9411331387292
"330",3,1,4929,25,22,0,91.4165794926991
"331",3,1,4954,25,22,0,83.5142341992663
"332",3,1,4979,25,18,0,120.98401478979
"333",3,1,5004,25,22,0,97.3746015238791
"334",3,1,5029,25,17,0,93.6030344473262
"335",3,1,5054,25,19,0,96.0811490194036
"336",3,1,5079,25,23,0,253.229106363752
"337",3,1,5104,25,14,0,134.427792598367
"338",3,1,5129,25,20,0,116.913300274621
"339",3,1,5154,25,21,0,112.203356491849
"340",3,1,5179,25,15,0,96.5526397217312
"341",3,1,5204,25,22,0,123.629390556763
"342",3,1,5229,25,16,0,87.3129030195608
"343",3,1,5254,25,22,0,94.6929862172643
"344",3,1,5279,25,21,0,91.9397231587916
"345",3,1,5304,25,20,0,86.1663377349009
"346",3,1,5329,25,23,0,108.627533503113
"347",3,1,5354,13,11,0,34.8286609976059
"348",3,1,5367,25,19,0,97.5748740906081
"349",3,1,5392,25,19,0,109.316525727071
"350",3,1,5417,25,21,0,82.6378771055879
"351",3,1,5442,25,20,0,159.516152752633
"352",3,1,5467,25,13,0,90.1576798163885
"353",3,1,5492,25,21,0,79.2388764420118
"354",3,1,5517,12,11,0,33.0834125683107
"355",3,1,5529,11,7,0,56.4120020882533
"356",3,1,5540,25,13,0,97.4236730063769
"357",3,1,5565,25,22,0,143.265501944961
"358",3,1,5590,25,22,0,81.493419670663
"359",3,1,5615,25,20,0,107.670688002412
"360",3,1,5640,25,25,0,84.436916496285
"361",3,1,5665,25,21,0,126.87096518018
"362",3,1,5690,25,23,0,74.7043058390594
"363",3,1,5715,25,22,0,125.094465994743
"364",3,1,5740,25,23,0,84.0181242045959
"365",3,1,5765,25,19,0,81.1820320360966
"366",3,1,5790,25,19,0,86.8475546388874
"367",3,1,5815,25,22,0,83.6141092801177
"368",3,1,5840,25,15,0,94.2627479015413
"369",3,1,5865,25,22,0,82.7827870337171
"370",3,1,5890,25,20,0,81.8909380319237
"371",3,1,5915,25,23,0,81.3325815301084
"372",3,1,5940,25,22,0,76.6034161489098
"373",3,1,5965,25,20,0,92.0047042634319
"374",3,1,5990,25,20,0,73.817755267577
"375",3,1,6015,25,18,0,72.9586273126641
"376",3,1,6040,25,21,0,76.1127715342209
"377",3,1,6065,25,22,0,103.813821544286
"378",3,1,6090,25,23,0,75.1030565162851
"379",3,1,6115,12,9,0,44.04411777312
"380",3,1,6127,25,16,0,73.1666482211714
"381",3,1,6152,25,20,0,95.9712815217606
"382",3,1,6177,25,22,0,73.4627389850886
"383",3,1,6202,25,22,0,78.5860545299226
"384",3,1,6227,25,22,0,65.5912541740742
"385",3,1,6252,25,20,0,68.5556833567047
"386",3,1,6277,25,19,0,81.5235769357561
"387",3,1,6302,25,19,0,98.3729057281903
"388",3,1,6327,25,12,0,82.7329784746929
"389",3,1,6352,25,23,0,68.0640370353827
"390",3,2,1,25,18,1,315.63065879733
"391",3,2,26,25,19,1,305.38094333217
"392",3,2,51,25,20,1,279.197372221669
"393",3,2,76,25,18,1,459.954147185302
"394",3,2,101,25,22,1,291.73993109949
"395",3,2,126,25,25,1,484.872875858385
"396",3,2,151,25,20,1,330.02886730491
"397",3,2,176,25,19,1,317.670299454308
"398",3,2,201,25,16,1,328.8619127401
"399",3,2,226,25,21,1,267.328065098857
"400",3,2,251,25,18,1,340.540086930046
"401",3,2,276,25,18,1,389.004098200285
"402",3,2,301,25,18,1,346.418506510215
"403",3,2,326,25,20,1,349.411183253987
"404",3,2,351,25,17,1,422.208444609043
"405",3,2,376,25,16,1,302.923998301682
"406",3,2,401,25,20,1,333.010026505913
"407",3,2,426,25,21,1,287.737782937313
"408",3,2,451,23,16,1,207.320052614078
"409",3,2,474,25,21,1,468.83781666132
"410",3,2,499,25,20,1,452.564701872539
"411",3,2,524,25,16,1,177.698598231648
"412",3,2,549,25,19,1,380.087517245161
"413",3,2,574,25,20,1,418.948756488652
"414",3,2,599,7,6,1,40.9661829116744
"415",3,2,606,25,21,1,241.863155023062
"416",3,2,631,25,22,1,457.067599825075
"417",3,2,656,25,19,1,243.027166298361
"418",3,2,681,23,22,1,279.561257094492
"419",3,2,704,25,23,1,252.6694058812
"420",3,2,729,25,20,1,277.925594875716
"421",3,2,754,25,23,1,233.995869898403
"422",3,2,779,25,21,1,242.392387415583
"423",3,2,804,25,15,1,429.440168105858
"424",3,2,829,25,18,1,160.581349223929
"425",3,2,854,25,16,1,188.211104675996
"426",3,2,879,25,15,1,268.301482491203
"427",3,2,904,25,18,1,401.294022628755
"428",3,2,929,25,21,1,377.196043077307
"429",3,2,954,25,17,1,262.016955112375
"430",3,2,979,25,13,1,280.149330886469
"431",3,2,1004,25,20,1,237.107992014676
"432",3,2,1029,25,21,1,382.24792454516
"433",3,2,1054,25,21,1,257.769080033247
"434",3,2,1079,2,2,1,12.4796981377673
"435",3,2,1081,23,19,1,213.209675829262
"436",3,2,1104,25,15,1,231.405416090942
"437",3,2,1129,25,13,1,373.936148238696
"438",3,2,1154,25,25,1,155.917312424285
"439",3,2,1179,25,17,1,247.822621655944
"440",3,2,1204,25,23,1,281.213872184179
"441",3,2,1229,25,21,1,283.20078592206
"442",3,2,1254,25,20,1,263.655843008172
"443",3,2,1279,25,20,1,293.298123732539
"444",3,2,1304,8,6,1,61.3249163551673
"445",3,2,1312,25,18,1,223.147839904143
"446",3,2,1337,25,15,1,275.157586409241
"447",3,2,1362,25,24,1,268.528291382802
"448",3,2,1387,25,21,1,266.20209526526
"449",3,2,1412,25,20,1,162.444157286948
"450",3,2,1437,25,20,1,362.154205439148
"451",3,2,1462,25,23,1,224.453994770768
"452",3,2,1487,25,24,1,281.315938024986
"453",3,2,1512,25,20,1,306.571528356468
"454",3,2,1537,25,19,1,243.365181775874
"455",3,2,1562,25,19,1,212.377458491288
"456",3,2,1587,25,18,1,215.260042468216
"457",3,2,1612,25,20,1,177.742880014094
"458",3,2,1637,25,20,1,250.372698347422
"459",3,2,1662,25,19,1,252.079486661837
"460",3,2,1687,25,21,1,241.487807858844
"461",3,2,1712,22,19,1,170.671286014051
"462",3,2,1734,25,21,1,499.603298690398
"463",3,2,1759,25,18,1,214.090712545654
"464",3,2,1784,25,22,1,206.139910093376
"465",3,2,1809,25,22,1,500.407747913179
"466",3,2,1834,25,19,1,246.726992269005
"467",3,2,1859,25,17,1,225.263850759502
"468",3,2,1884,25,20,1,279.370538791833
"469",3,2,1909,25,20,1,161.370896573047
"470",3,2,1934,25,20,1,176.093192063818
"471",3,2,1959,25,18,1,150.8971013164
"472",3,2,1984,25,24,1,160.339430889879
"473",3,2,2009,25,23,1,187.845133131218
"474",4,1,1,25,19,0,400.212332792198
"475",4,1,26,25,18,0,382.156220881237
"476",4,1,51,25,21,0,229.7288486662
"477",4,1,76,25,23,0,441.880181532916
"478",4,1,101,25,20,0,209.898905502677
"479",4,1,126,25,25,0,303.163344750343
"480",4,1,151,25,23,0,320.880656432776
"481",4,1,176,25,20,0,227.60988790363
"482",4,1,201,25,19,0,301.093326553294
"483",4,1,226,25,14,0,291.741352771381
"484",4,1,251,25,19,0,234.196683911077
"485",4,1,276,25,19,0,234.843761218161
"486",4,1,301,18,14,0,198.787058354405
"487",4,1,319,25,17,0,187.532479260971
"488",4,1,344,25,20,0,319.664006816209
"489",4,1,369,25,22,0,326.816849105745
"490",4,1,394,25,21,0,347.284868642849
"491",4,1,419,25,23,0,227.077976407103
"492",4,1,444,25,18,0,259.600311263375
"493",4,1,469,25,18,0,380.62998123455
"494",4,1,494,25,22,0,309.994163554396
"495",4,1,519,25,19,0,332.55316662623
"496",4,1,544,25,23,0,470.333486496445
"497",4,1,569,25,18,0,255.986653640785
"498",4,1,594,25,21,0,296.544989156289
"499",4,1,619,25,21,0,211.676933735717
"500",4,1,644,25,19,0,271.860755758572
"501",4,1,669,25,24,0,227.20949301988
"502",4,1,694,25,22,0,183.442690063805
"503",4,1,719,25,21,0,244.781584161701
"504",4,1,744,25,21,0,274.807267039964
"505",4,1,769,25,21,0,360.29533967851
"506",4,1,794,25,18,0,301.1871753017
"507",4,1,819,25,25,0,246.878108669665
"508",4,3,1,25,18,1,262.908548929477
"509",4,3,26,25,15,1,300.144199229359
"510",4,3,51,25,19,1,290.230848807175
"511",4,3,76,25,19,1,179.855822229614
"512",4,3,101,25,15,1,244.802363038299
"513",4,3,126,25,15,1,326.060017413961
"514",4,3,151,25,19,1,302.192685119469
"515",4,3,176,19,9,1,212.882691847757
"516",4,3,195,25,18,1,509.228528920134
"517",4,3,220,25,18,1,235.17275610875
"518",4,3,245,25,18,1,286.664669179613
"519",4,3,270,25,18,1,230.501826017117
"520",4,3,295,25,17,1,227.681438081637
"521",4,3,320,25,16,1,285.919590859923
"522",4,3,345,25,17,1,286.273765125814
"523",4,3,370,25,15,1,287.561626089658
"524",4,3,395,25,16,1,162.576445924905
"525",4,3,420,25,20,1,295.381857874574
"526",4,3,445,25,19,1,314.818638747846
"527",4,3,470,16,14,1,100.969019054398
"528",4,3,486,25,19,1,201.707716352936
"529",4,3,511,25,16,1,1220.13406044381
"530",4,3,536,25,17,1,299.989715669257
"531",4,3,561,25,15,1,254.558210233315
"532",4,3,586,25,16,1,223.487326586526
"533",4,3,611,25,22,1,240.085369964575
"534",4,3,636,25,16,1,281.399668181801
"535",4,3,661,25,22,1,242.082499356874
"536",4,3,686,25,20,1,367.379982233211
"537",4,3,711,25,20,1,201.089015796278
"538",4,3,736,25,19,1,380.303144835993
"539",4,3,761,25,19,1,309.933789084291
"540",4,3,786,25,11,1,242.151779505307
"541",4,3,811,25,17,1,221.099753029867
"542",4,3,836,25,22,1,210.088205725248
"543",4,3,861,25,20,1,408.834747326862
"544",4,3,886,25,21,1,188.449541100039
"545",4,3,911,25,20,1,283.686222898597
"546",4,3,936,25,17,1,311.082682733367
"547",4,3,961,25,13,1,321.652171205075
"548",4,3,986,25,20,1,192.913555987999
"549",4,3,1011,17,14,1,145.259888094085
"550",4,3,1028,25,13,1,415.971567950333
"551",4,3,1053,25,18,1,172.527501625305
"552",4,3,1078,25,18,1,223.564402996607
"553",4,3,1103,25,19,1,241.156754954108
"554",4,3,1128,25,17,1,234.567354707719
"555",4,3,1153,25,22,1,200.973071679304
"556",4,3,1178,25,24,1,181.375225283567
"557",4,3,1203,25,17,1,237.117567912995
"558",4,3,1228,25,22,1,227.901031914935
"559",4,3,1253,25,20,1,183.137912310705
"560",4,3,1278,25,20,1,206.512343753667
"561",4,3,1303,25,17,1,184.44910788892
"562",4,3,1328,25,18,1,260.378772430038
"563",4,3,1353,25,16,1,145.836582541223
"564",4,3,1378,25,21,1,187.715465736882
"565",4,3,1403,25,20,1,303.754514241555
"566",4,3,1428,25,17,1,201.655338476635
"567",4,3,1453,25,21,1,138.907578694881
"568",4,3,1478,25,18,1,199.153320054469
"569",4,3,1503,25,20,1,179.80348906902
"570",4,3,1528,25,24,1,212.708519118922
"571",4,3,1553,25,15,1,237.040699907471
"572",4,3,1578,15,8,1,100.322427821046
"573",4,3,1593,25,14,1,194.375741002806
"574",4,3,1618,25,20,1,293.994116956521
"575",4,3,1643,25,21,1,282.837049141766
"576",4,3,1668,25,14,1,245.406100261358
"577",4,3,1693,25,18,1,241.551615544484
"578",4,3,1718,25,18,1,224.454701819333
"579",4,3,1743,25,19,1,211.637877638419
"580",4,3,1768,25,19,1,192.852977125923
"581",4,3,1793,25,20,1,194.965204561211
"582",4,3,1818,25,21,1,155.029631343211
"583",4,3,1843,25,13,1,306.267104128517
"584",4,3,1868,25,18,1,217.77797509328
"585",4,3,1893,25,18,1,290.598587710355
"586",4,3,1918,19,16,1,168.596175952668
"587",4,3,1937,25,18,1,331.722381851672
"588",4,3,1962,25,21,1,334.3268152781
"589",4,3,1987,25,19,1,188.105884327725
"590",4,3,2012,25,21,1,186.567440889086
"591",4,3,2037,25,20,1,249.48410582616
"592",4,3,2062,25,22,1,145.649809618597
"593",4,3,2087,25,22,1,243.371113760046
"594",4,3,2112,25,13,1,214.729222161562
"595",4,3,2137,25,18,1,180.611988568043
"596",4,3,2162,25,18,1,175.151955611697
"597",4,3,2187,25,23,1,181.158009427294
"598",4,3,2212,25,18,1,183.939694868846
"599",4,3,2237,25,16,1,189.429133731969
"600",4,3,2262,25,16,1,253.632473788441
"601",4,3,2287,25,22,1,144.758269826406
"602",4,3,2312,25,20,1,300.98936311953
"603",4,3,2337,25,17,1,198.530240530172
"604",4,3,2362,25,16,1,199.873138470149
"605",4,3,2387,25,19,1,130.882281711893
"606",4,3,2412,25,23,1,119.332832072477
"607",4,3,2437,25,20,1,128.217883084552
"608",4,3,2462,25,19,1,140.11258642026
"609",4,3,2487,25,23,1,156.940461664437
"610",4,3,2512,25,22,1,263.227912222255
"611",4,3,2537,25,20,1,219.437131535053
"612",4,3,2562,25,21,1,261.89502728423
